"Name";"English name";"Other name";"Genres";"Synopsis";"Type";"Episodes";"Aired";"Year";"Status";"Producers";"Licensors";"Studios";"Source";"Duration";"Image URL"
"Bucchigire!";"Shine On! Bakumatsu Bad Boys";"ブッチギレ!";"Action";"Following a ruthless attack from an imperialist criminal gang known as the Masked Demons, Shinsengumi's Eighth Division—the law-enforcing squad in Kyoto that remains faithful to the shogunate—is nearly annihilated, with its sole survivor, Heisuke Toudou, critically injured. Urged to rebuild the Shinsengumi by the local feudal lord, Katamori Matsudaira, Toudou decides to offer eight convicts the chance to redeem themselves: they must abandon their old names and become substitutes for the eight Shinsengumi captains. All accept but one, who ends up immediately executed by the former assassin Sakuya.

However, Toudou has a hard time transforming the seven reformed criminals into loyal servants. Due to his lack of discipline, the impulsive and vengeful Ichibanboshi, whose family perished at the hands of the Masked Demons, threatens the success of Toudou's strategy. As Toudou pledges to protect the shogunate against imperialists and foreign invaders, other factions, such as Kogorou Katsura's group, start to put their plans in motion with only one goal in mind—to seize power at the dusk of the Edo period.";"TV";"12";"2022/07/08";"2022.0";"Finished Airing";"Ai Addiction, bilibili, Twin Engine";"UNKNOWN";"Geno Studio";"Original";"24";"https://cdn.myanimelist.net/images/anime/1284/125491.jpg"
"Hakkoutai Solar Cycle";"UNKNOWN";"発光体ソーラーサイクル";"UNKNOWN";"Music video for the song Hakkoutai Solar Cycle by AZKi.";"Music";"1";"2022/03/24";"2022.0";"Finished Airing";"Hololive Production";"UNKNOWN";"UNKNOWN";"Original";"5";"https://cdn.myanimelist.net/images/anime/1116/121773.jpg"
"Christmas of a Wandering Ghost";"Christmas of a Wandering Ghost";"Christmas of a Wandering Ghost";"Fantasy";"Snailchan helps a ghost get his treat!

Music video for the song Christmas of a Wandering Ghost by Snail's House.";"Music";"1";"2021/12/24";"2021.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Original";"4";"https://cdn.myanimelist.net/images/anime/1851/121774.jpg"
"Keshin";"UNKNOWN";"化身";"Action";"A collaboration between Kamikaze Douga and Polkadot Stingray: an animated music video for the song Keshin by Polkadot Stingray. Mixed in with the animation is a back and forth with live-action segments of the band.

(Source: AniList)";"Music";"1";"2020/11/08";"2020.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Kamikaze Douga";"Original";"3";"https://cdn.myanimelist.net/images/anime/1568/121775.jpg"
"Senkou";"UNKNOWN";"閃光";"Action";"Music video for the song Senkou by Roselia. This song is a collaboration with Eve who composed and wrote the lyrics for the track.";"Music";"1";"2022/03/12";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"UNKNOWN";"Mixed media";"2";"https://cdn.myanimelist.net/images/anime/1117/121776.jpg"
"First Step";"First Step";"First Step";"Slice of Life";"Animated music video for the song First Step by Mana Nagase. It was featured as an insert song for multiple episodes of Idoly Pride.";"Music";"1";"2020/11/28";"2020.0";"Finished Airing";"QualiArts";"UNKNOWN";"Lerche";"Mixed media";"2";"https://cdn.myanimelist.net/images/anime/1298/121777.jpg"
"RWBY: Hyousetsu Teikoku";"RWBY: Ice Queendom";"RWBY 氷雪帝国";"Action";"Since ancient times, the world of Remnant has been under constant threat by the Grimm: creatures of nightmare obsessed with destroying both humans and the half-human Faunus. To protect themselves, the four kingdoms of the world established academies that train young people to become huntsmen: warriors tasked with destroying Grimm.

In the kingdom of Vale, the cheerful 15-year-old Ruby Rose has always dreamed of a life at the prestigious Beacon Academy. Sadly, being too young, she can only watch as her elder sister, Yang Xiao Long, sets off for the academy alone. But everything changes when Ruby fights off a group of armed robbers, and the news of her skillful exploit reaches Beacon's headmaster, Professor Ozpin.

Ruby is over the moon when she receives an invitation to join the academy alongside her sister. Meanwhile, halfway across the world in the kingdom of Atlas, corporate heiress Weiss Schnee defies her father's wish and sets off for Beacon, her heart brimming with anxious resolve. At the same time, lonesome rogue Blake Belladonna abandons her vigilante group in hopes of finding a better life at the academy. When their paths converge, the meeting between the four girls is anything but friendly. With vastly different personalities and beliefs, they often end up clashing. However, when they work together, team RWBY begins to create ripples across Beacon, the likes of which have never been seen before.";"TV";"12";"2022/07/03";"2022.0";"Finished Airing";"Warner Bros. Japan, Good Smile Company, KLab, Bandai Namco Filmworks, Bandai Namco Music Live";"UNKNOWN";"Shaft";"Other";"24";"https://cdn.myanimelist.net/images/anime/1356/121832.jpg"
"Hun Hou Richang";"UNKNOWN";"婚后日常";"Slice of Life";"No description available for this anime.";"ONA";"24";"2022/07/31";"2022.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"HMCH";"Novel";"3";"https://cdn.myanimelist.net/images/anime/1377/126047.jpg"
"Wo Jian Qile Yi Di Shuxing";"UNKNOWN";"我捡起了一地属性";"Action, Adventure, Fantasy";"Feng Xia, a completely hardworking game player, travels through time and space. With his power, attributes, and strategies learned from the games he played before, he can beat his enemies and get their Light Masses of Attributes. Besides, he also meets all kinds of beauties along his way... His enemies laugh: ""My martial arts are invincible!"" Feng Xia just beats them and absorbs their Light Masses. ""Indeed. But sorry, it's my martial arts now!""";"ONA";"16";"2023/01/23";"2023.0";"Finished Airing";"UNKNOWN";"UNKNOWN";"Foch Films";"Other";"17";"https://cdn.myanimelist.net/images/anime/1776/126821.jpg"
"Kaiju Yi Zuo Shan";"UNKNOWN";"开局一座山";"Fantasy";"No description available for this anime.";"ONA";"12";"2022/04/15";"2022.0";"Finished Airing";"Tencent Animation & Comics, Tencent Penguin Pictures, Yikuiduo Animation";"UNKNOWN";"UNKNOWN";"Web novel";"13";"https://cdn.myanimelist.net/images/anime/1285/122197.jpg"
